Country Name,       Code, 1990,2000,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,            ALB, ,6330,..,9747,13205,10487,7775,4395,4196,,
Algeria,            DZA, 448068,250964,92175,63036,,,,,,,
Angola,             AGO, ,,,431230,463178,483922,525174,..,..,,
Antigua and Barbuda,ATG, ,,472,392,494,754,773,786,..,800,
Argentina,          ARG, ,,13082,17222,17761,33903,32045,31673,24780,..,
Armenia,            ARM, ,,1023,,,,,,,,
Aruba,              ABW, ..,83,77,55,96,..,..,..,..,23,
Australia,          AUS, 16327,40203,22261,21943,22829,21978,17343,19816,22965,..,
Azerbaijan,         AZE, ..,42620,43150,40596,36907,38153,33050,27846,18916,12640,
"Bahamas, The",     BHS, ..,..,..,60,167,..,..,..,..,..,
Bangladesh,         BGD, 2411263,..,..,481918,174125,282669,..,..,..,..,
Barbados,           BRB, 409,530,482,323,589,457,661,..,..,827,
Belarus,            BLR, ..,..,..,..,13993,14605,15355,10011,10626,10616,
Belgium,            BEL, ..,2545,4983,2614,2689,3534,3318,2375,2158,2860,
Belize,             BLZ, ..,794,928,901,710,432,688,45,314,348,
Benin,              BEN, 305551,..,..,142184,99740,..,92509,..,..,..,
Bermuda,            BMU, ..,..,..,..,..,..,277,438,..,..,
Bhutan,             BTN, ..,23577,..,8468,6051,4888,4575,3865,4698,4779,
Bolivia,            BOL, ..,26296,21857,34260,..,..,..,..,..,..,
Bosnia Herzegovina, BIH, ..,..,..,..,..,..,2419,1054,..,399,
Botswana,           BWA, 14769,25106,21442,21914,21870,..,..,12938,12395,..,
Brazil,             BRA, ,..,428212,138568,158529,..,281299,145720,455495,..,
Bulgaria,           BGR, ,5362,5613,2476,334,321,1241,3390,3996,4277,
Burkina Faso,       BFA, ,649098,568166,509928,485215,551636,504546,501274,501098,499647,
Burundi,            BDI, ,393264,153055,86035,93561,60476,..,..,78440,27340,
Cabo Verde,         CPV, ,737,2779,2710,2246,1479,978,448,347,463,
Cambodia,           KHM, ,135251,60689,71168,..,69514,43181,43991,..,57357,
Cameroon,           CMR, 327905,..,..,..,..,..,..,198007,..,184714,
Canada,             CAN, 48183,..,..,..,..,..,..,..,..,..,
Central African Rep,CAF, 126425,..,173812,147180,148105,140959,146099,134223,..,..,
Chad,               TCD, ,420327,..,..,..,..,482025,..,295355,..,
Chile,              CHL, ,..,22288,26066,41823,37444,47251,50674,54306,50233,
Colombia,           COL, ,52356,75973,72498,64061,59277,55319,113260,134714,147281,
Comoros,            COM, ,17292,12303,..,..,..,..,..,9563,..,
"Congo, Rep.",      COG,,..,..,..,..,38435,..,10671,..,..,
Costa Rica,         CRI,25063,..,..,..,..,..,940,825,2761,7641,
Cote d'Ivoire,      CIV,..,673455,..,..,786424,..,..,..,561054,514940,
Croatia,            HRV,..,6448,107,1407,7660,3748,1664,360,..,270,
Cuba,               CUB,32484,10473,11948,7689,..,13,4183,10189,12925,24438,
Cyprus,             CYP,7572,511,209,358,298,140,198,436,544,572,
Denmark,            DNK,3691,2391,4215,4533,4714,5153,3733,2850,2228,2945,
Djibouti,           DJI,34889,47064,32728,24566,24568,..,20855,..,21527,18734,21582
Dominica,           DMA,..,..,466,432,48,..,..,..,..,..,
Dominican Republic, DOM,..,86168,62364,83882,54759,63031,60551,71430,77067,90684,
Ecuador,            ECU,..,21169,..,..,12694,19837,..,..,..,21518,
"Egypt, Arab Rep.", EGY,..,579451,..,..,..,..,..,145352,..,33219,
El Salvador,        SLV,..,31540,14916,14029,13844,14173,15196,15405,14012,18824,
Equatorial Guinea,  GNQ,..,14138,..,23702,24181,24445,23638,22806,..,..,
Eritrea,            ERI,..,177036,147507,159019,171279,183321,184897,186120,205607,..,
Estonia,            EST,..,13,1142,1369,1503,481,81,66,209,..,
Ethiopia,           ETH,..,3497146,2116440,1788760,1822672,2014672,1777390,1705794,..,1276071,
Fiji,               FJI,..,2800,..,..,171,..,..,..,780,..,
Finland,            FIN,..,..,4424,4165,3952,3456,2896,1259,333,196,
France,             FRA,..,3497,13135,13763,11057,10704,10124,10181,7010,6756,
Gabon,              GAB,..,..,..,..,..,..,..,..,..,..,
"Gambia, The",      GMB,..,29921,25079,30975,..,37779,38583,35872,43426,44729,
Georgia,            GEO,..,..,8644,..,..,..,..,..,..,..,
Ghana,              GHA,..,514939,449966,364546,399206,..,283703,345681,241632,199242,
Greece,             GRC,17953,5415,11357,..,..,6934,8330,8394,10292,..,
Grenada,            GRD,..,..,423,240,49,..,..,..,97,170,
Guatemala,          GTM,..,167206,57743,56642,17472,16658,38395,72099,101212,127722,
Guinea,             GIN,370409,428539,290887,307667,306622,305808,271472,284518,284935,260689,
Guinea-Bissau,      GNB,..,64302,..,..,..,39845,..,..,..,..,
Guyana,             GUY,..,..,..,6531,10630,9754,9207,9098,..,..,
Haiti,              HTI,..,..,..,..,..,..,..,..,..,..,
Honduras,           HND,..,55703,39136,15958,13648,16229,10431,11111,24762,25029,
"Hong Kong          SAR, China",HKG,..,..,..,..,..,..,..,2097,1812,1329,
Hungary,            HUN,..,7903,6617,3932,2160,2322,3832,5781,7386,7737,
Iceland,            ISL,..,..,256,165,100,153,171,162,..,..,
India,              IND,17687004,13416546,2248144,1406158,1865020,1688497,1695210,1384677,931474,..,
Indonesia,          IDN,674600,..,670689,677076,611359,380792,227611,556230,855416,1043640,
Iran,               IRN,476684,661766,4670,..,..,..,..,..,..,..,
Iraq,               IRQ,..,328460,293087,..,..,..,..,..,..,..,
Ireland,            IRL,22688,..,..,..,..,25,2049,446,975,..,
Isle of Man,        IMY,..,..,..,..,..,..,..,..,..,..,
Israel,             ISR,..,7397,8016,8454,10036,8404,10016,7823,9801,10626,
Italy,              ITA,..,3740,18501,19538,17910,15542,20569,14079,10705,..,
Jamaica,            JAM,2583,10672,..,..,..,..,..,..,..,..,
Japan,              JPN,..,..,..,..,..,2036,1658,1849,1633,..,
Jordan,             JOR,..,..,6343,18679,..,45000,52048,60532,..,..,
Kazakhstan,         KAZ,..,30594,11955,5590,1711,..,1449,1534,1699,1971,446
Kenya,              KEN,..,861725,379261,501833,484010,..,..,413319,..,..,
Korea,              PRK,..,..,..,..,22579,..,..,..,..,..,
Korea, Rep,         KOR,..,73,2767,3279,15908,24030,20569,21024,54508,..,
Kuwait,             KWT,..,587,830,44,..,508,338,556,776,799,
Kyrgyz Republic,    KGZ,..,18490,11799,12886,13712,12635,12443,6074,4170,4892,
Lao PDR,            LAO,..,106295,67992,56572,44900,27315,25910,26384,20224,20826,
Latvia,             LVA,..,..,..,1681,655,456,527,592,586,1483,
Lebanon,            LBN,..,..,31157,28552,26159,22014,22357,30002,34523,..,
Lesotho,            LSO,30385,27285,40915,38388,36482,33169,30629,27745,30561,29707,
Liberia,            LBR,..,..,..,167352,183644,..,194833,..,..,220411,
Liechtenstein,      LIE,,,,,,,,,,18,
Lithuania,          LTU,..,2062,2484,774,426,363,1059,654,77,66,
Luxembourg,         LUX,..,281,205,310,..,669,762,696,686,..,
"Macao SAR, China", MAC,2343,..,..,..,..,..,..,..,..,..,
