Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
"Children out of school, primary, female",SE.PRM.UNER.FE,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Albania,ALB,..,6330,..,9747,13205,10487,7775,4395,4196,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Algeria,DZA,448068,250964,92175,63036,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Andorra,ADO,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Angola,AGO,..,..,..,431230,463178,483922,525174,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Antigua and Barbuda,ATG,..,..,472,392,494,754,773,786,..,800,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Argentina,ARG,..,..,13082,17222,17761,33903,32045,31673,24780,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Armenia,ARM,..,..,1023,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Aruba,ABW,..,83,77,55,96,..,..,..,..,23,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Australia,AUS,16327,40203,22261,21943,22829,21978,17343,19816,22965,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Azerbaijan,AZE,..,42620,43150,40596,36907,38153,33050,27846,18916,12640,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,"Bahamas, The",BHS,..,..,..,60,167,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Bahrain,BHR,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Bangladesh,BGD,2411263,..,..,481918,174125,282669,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Barbados,BRB,409,530,482,323,589,457,661,..,..,827,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Belarus,BLR,..,..,..,..,13993,14605,15355,10011,10626,10616,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Belgium,BEL,..,2545,4983,2614,2689,3534,3318,2375,2158,2860,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Belize,BLZ,..,794,928,901,710,432,688,45,314,348,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Benin,BEN,305551,..,..,142184,99740,..,92509,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Bermuda,BMU,..,..,..,..,..,..,277,438,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Bhutan,BTN,..,23577,..,8468,6051,4888,4575,3865,4698,4779,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Bolivia,BOL,..,26296,21857,34260,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,2419,1054,..,399,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Botswana,BWA,14769,25106,21442,21914,21870,..,..,12938,12395,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Brazil,BRA,..,..,428212,138568,158529,..,281299,145720,455495,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Brunei Darussalam,BRN,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Bulgaria,BGR,..,5362,5613,2476,334,321,1241,3390,3996,4277,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Burkina Faso,BFA,..,649098,568166,509928,485215,551636,504546,501274,501098,499647,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Burundi,BDI,..,393264,153055,86035,93561,60476,..,..,78440,27340,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Cabo Verde,CPV,..,737,2779,2710,2246,1479,978,448,347,463,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Cambodia,KHM,..,135251,60689,71168,..,69514,43181,43991,..,57357,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Cameroon,CMR,327905,..,..,..,..,..,..,198007,..,184714,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Canada,CAN,48183,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Central African Republic,CAF,126425,..,173812,147180,148105,140959,146099,134223,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Chad,TCD,..,420327,..,..,..,..,482025,..,295355,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Chile,CHL,..,..,22288,26066,41823,37444,47251,50674,54306,50233,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,China,CHN,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Colombia,COL,..,52356,75973,72498,64061,59277,55319,113260,134714,147281,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Comoros,COM,..,17292,12303,..,..,..,..,..,9563,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,"Congo, Dem. Rep.",ZAR,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,"Congo, Rep.",COG,..,..,..,..,..,38435,..,10671,..,..,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Costa Rica,CRI,25063,..,..,..,..,..,940,825,2761,7641,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Cote d'Ivoire,CIV,..,673455,..,..,786424,..,..,..,561054,514940,..,..
"Children out of school, primary, female",SE.PRM.UNER.FE,Croatia,HRV,..,6448,107,1407,7660,3748,1664,360,..,270,..,..
