Country Name,Country Code,1990,2000,2007,2008,2009,2010,2011,2012,2013,2014,2015
Albania,ALB,..,4784,,9759,12473,9868,6574,3222,3346,..,
Algeria,DZA,190988,186541,57862,32853,..,..,..,..,..,..,
Angola,AGO,,,,264114,276094,218555,99258,..,..,..,
Antigua and Barbuda,ATG,,,435,394,344,391,570,712,..,684,
Argentina,ARG,,,4584,6177,5933,5680,4730,3491,3206,..,
Armenia,ARM,,,7269,,,,,,,,
Aruba,ABW,..,63,20,24,254,..,..,..,..,35,
Australia,AUS,21696,71405,41682,39809,36934,33197,25703,26067,27940,..,
Azerbaijan,AZE,..,42084,46271,43949,37768,40292,31263,25890,12462,10181,
"Bahamas, The",BHS,,,,400,1070,..,..,..,..,..,
Bangladesh,BGD,1645260,..,..,704516,854649,624491,..,..,..,..,
Barbados,BRB,188,549,696,397,804,661,799,..,..,1098,
Belarus,BLR,..,..,..,..,13732,15130,16043,10672,14311,11514,
Belgium,BEL,..,3427,6883,4480,4229,5402,5439,3754,3596,3678,
Belize,BLZ,..,624,1229,819,627,496,403,158,208,49,
Benin,BEN,193191,..,..,37915,362,..,1089,..,..,..,
Bermuda,BMU,..,..,..,..,..,..,308,359,..,..,
Bhutan,BTN,..,20834,..,9997,7690,6722,6317,5383,6086,6188,
Bolivia,BOL,..,21824,22791,33835,..,..,..,..,..,..,
Bosnia and Herzegovina,BIH,..,..,..,..,..,..,3551,1813,..,1269,
Botswana,BWA,24469,30691,24721,25408,24252,..,..,15756,14659,..,
Brazil,BRA,..,..,628402,58594,295836,..,254111,409483,494374,..,
Bulgaria,BGR,..,2529,6039,3600,2052,1361,2287,4192,4632,5237,
Burkina Faso,BFA,..,548301,471274,418717,403351,498925,454759,458060,464599,457071,
Burundi,BDI,..,341722,128310,65930,87993,58854,..,..,59479,41906,
Cabo Verde,CPV,..,1058,2632,2463,1977,1549,1038,495,592,578,
Cambodia,KHM,..,26877,26050,38234,..,54236,2197,2922,..,39440,
Cameroon,CMR,231707,,,,,,,,,8536,
Canada,CAN,58554,,,,,,,,,,
Central African Republic,CAF,70085,..,109033,78316,76829,69292,79644,72428,..,..,
Chad,TCD,..,271889,..,..,..,..,313756,..,61330,..,
Chile,CHL,..,..,14023,16786,37590,36650,46289,50682,55712,50989,
Colombia,COL,..,53970,96687,79027,64559,54420,54268,116629,144737,161887,
Comoros,COM,..,13002,9793,..,..,..,..,..,7257,..,
"Congo, Rep.",COG,..,..,..,..,..,28094,..,36678,..,..,
Costa Rica,CRI,27068,..,..,..,..,..,1520,1461,3805,7997,
Cote d'Ivoire,CIV,..,456918,..,..,627937,..,..,..,474044,363910,
Croatia,HRV,..,6312,2248,4196,8749,6101,3845,2300,..,2406,
Cuba,CUB,34190,7290,10798,8110,..,1765,6650,13611,15389,28807,
Cyprus,CYP,8070,765,163,212,155,245,189,552,814,963,
